Jurisdiction,"Donald J. Trump and Michael Pence
Republican","Joe Biden and Kamala Harris
Democratic","Jo Jorgensen and Jeremy Spike Cohen
Libertarian","Howie Gresham Hawkins and Angela Walker
Green","Jerome M. Segal and John de Graaf
Bread and Roses","Sharon Wallace and Karen M. Short (Write In)
Democratic","Dennis Andrew Ball (Write In)
Other","Barbara Bellar (Write In)
Other","President Boddie (Write In)
Other","Mary Ruth Caro Simmons and Sherrie Dow (Write In)
Other","Brian Carroll (Write In)
Other","Todd Cella (Write In)
Other","Mark Charles and Adrian Wallace (Write In)
Other","Phil Collins (Write In)
Other","Roque ""Rocky"" De La Fuente (Write In)
Other","Ryan Ehrenreich and Veronica Ehrenreich (Write In)
Other","Randall Foltyniewkz (Write In)
Other","Tom Hoefling and Andy Prior (Write In)
Other","Shawn Howard (Write In)
Other","Johnson Lee (Write In)
Other","Susan B. Lochocki (Write In)
Other","Brock Pierce and Karia Ballard (Write In)
Other","Deborah Rouse and Sheila Cannon (Write In)
Other","Peter W. Sherrill (Write In)
Other","Jade Simmons and Claudeligh J. Roze (Write In)
Other","Kasey Wells (Write In)
Other","Kanye West (Write In)
Other","Gloria La Riva and Sunil Freeman (Write In)
Unaffiliated","Albert Raley (Write In)
Unaffiliated","Benjamin Schwalb (Write In)
Unaffiliated","Edward Shlikas (Write In)
Unaffiliated","Other
Write-Ins"
Allegany,"20,886","9,158",308,120,39,0,0,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,9,1,18,0,0,94
Anne Arundel,"127,821","172,823","4,652","1,247",381,0,0,7,1,0,125,0,2,1,4,0,0,4,4,0,0,5,2,2,22,0,120,11,2,0,0,"2,381"
Baltimore City,"25,374","207,260","1,761","1,338",456,0,1,4,0,0,37,0,5,0,1,0,0,1,2,0,0,1,0,0,15,0,132,16,1,0,0,"1,056"
Baltimore,"146,202","258,409","4,927","1,820",548,0,1,0,0,0,104,0,0,2,0,0,0,0,0,0,0,0,0,0,19,0,186,10,0,0,0,"2,704"
Calvert,"25,346","22,587",733,127,39,0,0,2,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,15,2,0,0,0,247
Caroline,"10,283","5,095",229,90,32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,57
Carroll,"60,218","36,456","2,028",537,169,0,0,1,1,0,36,0,2,1,3,0,0,1,3,0,0,0,3,1,1,0,47,1,0,1,0,817
Cecil,"29,439","16,809",706,229,90,0,0,0,0,0,13,0,3,0,1,0,0,0,1,0,0,0,0,0,3,0,12,0,0,0,0,156
Charles,"25,579","62,171",769,408,136,0,0,0,0,0,28,0,7,0,2,0,0,1,0,0,0,0,0,0,7,1,32,3,0,0,0,354
Dorchester,"8,764","6,857",174,97,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,37
Frederick,"63,682","77,675","2,282",686,243,0,1,2,0,0,49,2,2,3,3,0,0,0,0,0,0,2,0,0,7,0,53,5,0,1,0,917
Garrett,"12,002","3,281",212,64,20,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,26
Harford,"80,930","63,095","2,473",577,146,0,0,0,0,0,17,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,39,0,0,1,0,904
Howard,"48,390","129,433","2,471",785,245,0,0,2,0,0,21,7,0,0,3,0,0,0,0,0,0,0,0,0,4,0,49,9,1,0,0,"1,642"
Kent,"5,195","5,329",117,68,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,46
Montgomery,"101,222","419,569","4,247","3,091","1,440",0,1,0,0,0,170,1,0,0,3,0,0,1,4,1,0,4,0,0,6,2,141,40,0,0,0,"3,800"
Prince George's,"37,090","379,208","1,810","3,349","1,394",0,3,3,2,0,103,0,0,0,1,0,0,0,0,0,0,1,0,0,30,1,208,20,0,0,0,"1,632"
Queen Anne's,"18,741","10,709",411,164,54,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,13,2,0,0,0,188
St. Mary's,"30,826","23,138","1,112",200,63,0,1,2,0,0,37,0,1,1,2,0,0,0,1,0,0,0,0,0,4,0,14,2,1,0,0,260
Somerset,"5,739","4,241",82,38,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,26
Talbot,"10,946","11,062",274,83,35,0,0,0,0,0,3,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,144
Washington,"40,224","26,044",836,309,97,0,0,0,0,0,9,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,17,2,4,0,0,232
Wicomico,"22,944","22,054",538,292,147,0,0,0,0,0,13,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,17,0,0,0,0,205
Worcester,"18,571","12,560",336,80,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
